,bike_nr,birth_date,duration,end_date,end_station,gender,id,resource_uri,start_date,start_station,status,subscription_type,zip_code
0,B00143,,5090,2011-08-31T20:52:00,/api/v1/station/33/,,43259,/api/v1/trip/43259/,2011-08-31T19:28:00,/api/v1/station/33/,Closed,Casual,
1,B00010,,5124,2011-08-31T20:52:00,/api/v1/station/33/,,43256,/api/v1/trip/43256/,2011-08-31T19:27:00,/api/v1/station/33/,Closed,Casual,
2,B00527,,5988,2011-08-30T12:28:00,/api/v1/station/33/,,40731,/api/v1/trip/40731/,2011-08-30T10:48:00,/api/v1/station/33/,Closed,Casual,
3,B00214,,5967,2011-08-30T12:28:00,/api/v1/station/33/,,40730,/api/v1/trip/40730/,2011-08-30T10:48:00,/api/v1/station/33/,Closed,Casual,
4,B00028,,5969,2011-08-29T22:54:00,/api/v1/station/10/,,40226,/api/v1/trip/40226/,2011-08-29T21:15:00,/api/v1/station/33/,Closed,Casual,
5,B00115,,4885,2011-08-29T16:45:00,/api/v1/station/33/,,39472,/api/v1/trip/39472/,2011-08-29T15:24:00,/api/v1/station/33/,Closed,Casual,
6,B00290,,6585,2011-08-29T16:54:00,/api/v1/station/53/,,39443,/api/v1/trip/39443/,2011-08-29T15:04:00,/api/v1/station/33/,Closed,Casual,
7,B00261,,9817,2011-08-29T13:00:00,/api/v1/station/33/,,39036,/api/v1/trip/39036/,2011-08-29T10:17:00,/api/v1/station/33/,Closed,Casual,
8,B00170,,8417,2011-08-27T14:16:00,/api/v1/station/9/,,38329,/api/v1/trip/38329/,2011-08-27T11:56:00,/api/v1/station/33/,Closed,Casual,
9,B00583,,8435,2011-08-27T14:16:00,/api/v1/station/9/,,38323,/api/v1/trip/38323/,2011-08-27T11:55:00,/api/v1/station/33/,Closed,Casual,
10,B00136,,7188,2011-08-27T12:57:00,/api/v1/station/52/,,38246,/api/v1/trip/38246/,2011-08-27T10:57:00,/api/v1/station/33/,Closed,Casual,
