,bike_nr,birth_date,duration,end_date,end_station,gender,id,resource_uri,start_date,start_station,status,subscription_type,zip_code
0,B00508,,4129,2012-06-12T14:29:00,/api/v1/station/38/,,311466,/api/v1/trip/311466/,2012-06-12T13:20:00,/api/v1/station/33/,Closed,Casual,
1,B00579,,4048,2012-06-08T12:28:00,/api/v1/station/33/,,301753,/api/v1/trip/301753/,2012-06-08T11:21:00,/api/v1/station/33/,Closed,Casual,
2,B00539,,4061,2012-05-31T17:05:00,/api/v1/station/42/,,288334,/api/v1/trip/288334/,2012-05-31T15:57:00,/api/v1/station/33/,Closed,Casual,
3,B00545,,6258,2012-05-30T22:04:00,/api/v1/station/50/,,286651,/api/v1/trip/286651/,2012-05-30T20:19:00,/api/v1/station/33/,Closed,Casual,
4,B00533,,4887,2012-05-19T17:05:00,/api/v1/station/33/,,261099,/api/v1/trip/261099/,2012-05-19T15:43:00,/api/v1/station/33/,Closed,Casual,
5,B00327,,5921,2012-05-19T17:05:00,/api/v1/station/33/,,261008,/api/v1/trip/261008/,2012-05-19T15:26:00,/api/v1/station/33/,Closed,Casual,
6,B00603,,4940,2012-04-29T16:02:00,/api/v1/station/45/,,225077,/api/v1/trip/225077/,2012-04-29T14:40:00,/api/v1/station/33/,Closed,Casual,
7,B00407,,5368,2012-04-28T15:47:00,/api/v1/station/60/,,223259,/api/v1/trip/223259/,2012-04-28T14:18:00,/api/v1/station/33/,Closed,Casual,
8,B00469,,4301,2012-05-28T16:29:00,/api/v1/station/33/,,281119,/api/v1/trip/281119/,2012-05-28T15:18:00,/api/v1/station/33/,Closed,Casual,
9,B00347,,5999,2012-05-19T17:04:00,/api/v1/station/33/,,260985,/api/v1/trip/260985/,2012-05-19T15:24:00,/api/v1/station/33/,Closed,Casual,
10,B00454,,4972,2012-05-12T12:09:00,/api/v1/station/42/,,245135,/api/v1/trip/245135/,2012-05-12T10:46:00,/api/v1/station/33/,Closed,Casual,
11,B00350,,5327,2012-04-21T23:26:00,/api/v1/station/10/,,213945,/api/v1/trip/213945/,2012-04-21T21:57:00,/api/v1/station/33/,Closed,Casual,
12,B00159,,6332,2012-04-15T19:18:00,/api/v1/station/33/,,199319,/api/v1/trip/199319/,2012-04-15T17:33:00,/api/v1/station/33/,Closed,Casual,
13,B00591,,7655,2012-04-15T15:33:00,/api/v1/station/12/,,198270,/api/v1/trip/198270/,2012-04-15T13:25:00,/api/v1/station/33/,Closed,Casual,
14,B00574,,154082,2012-03-25T20:05:00,/api/v1/station/23/,,167426,/api/v1/trip/167426/,2012-03-24T01:17:00,/api/v1/station/33/,Closed,Casual,
15,B00553,,6839,2012-05-27T18:57:00,/api/v1/station/37/,,278840,/api/v1/trip/278840/,2012-05-27T17:03:00,/api/v1/station/33/,Closed,Casual,
16,B00343,,3986,2012-05-27T15:52:00,/api/v1/station/44/,,278236,/api/v1/trip/278236/,2012-05-27T14:46:00,/api/v1/station/33/,Closed,Casual,
17,B00071,,16577,2012-05-12T19:31:00,/api/v1/station/5/,,245923,/api/v1/trip/245923/,2012-05-12T14:54:00,/api/v1/station/33/,Closed,Casual,
18,B00282,,5345,2012-04-21T16:56:00,/api/v1/station/36/,,212780,/api/v1/trip/212780/,2012-04-21T15:24:00,/api/v1/station/33/,Closed,Casual,
19,B00492,,5529,2012-04-14T15:31:00,/api/v1/station/15/,,195474,/api/v1/trip/195474/,2012-04-14T13:59:00,/api/v1/station/33/,Closed,Casual,
20,B00056,1987.0,5937,2012-03-30T20:01:00,/api/v1/station/10/,Male,174359,/api/v1/trip/174359/,2012-03-30T18:22:00,/api/v1/station/33/,Closed,Registered,02446
21,B00412,,9683,2012-06-17T16:26:00,/api/v1/station/33/,,321753,/api/v1/trip/321753/,2012-06-17T13:44:00,/api/v1/station/33/,Closed,Casual,
22,B00223,,4163,2012-06-10T15:59:00,/api/v1/station/33/,,306732,/api/v1/trip/306732/,2012-06-10T14:49:00,/api/v1/station/33/,Closed,Casual,
23,B00526,,6478,2012-05-24T15:17:00,/api/v1/station/33/,,270631,/api/v1/trip/270631/,2012-05-24T13:29:00,/api/v1/station/33/,Closed,Casual,
24,B00066,,13483,2012-05-19T20:27:00,/api/v1/station/9/,,261321,/api/v1/trip/261321/,2012-05-19T16:43:00,/api/v1/station/33/,Closed,Casual,
25,B00238,,3635,2012-05-18T11:56:00,/api/v1/station/58/,,257771,/api/v1/trip/257771/,2012-05-18T10:55:00,/api/v1/station/33/,Closed,Casual,
26,B00413,,4592,2012-05-15T12:06:00,/api/v1/station/33/,,251708,/api/v1/trip/251708/,2012-05-15T10:50:00,/api/v1/station/33/,Closed,Casual,
27,B00143,1972.0,26338,2012-05-12T14:22:00,/api/v1/station/41/,Male,244861,/api/v1/trip/244861/,2012-05-12T07:03:00,/api/v1/station/33/,Closed,Registered,02121
28,B00340,,5261,2012-05-11T21:58:00,/api/v1/station/9/,,244493,/api/v1/trip/244493/,2012-05-11T20:30:00,/api/v1/station/33/,Closed,Casual,
29,B00580,,3955,2012-04-21T15:15:00,/api/v1/station/33/,,212469,/api/v1/trip/212469/,2012-04-21T14:09:00,/api/v1/station/33/,Closed,Casual,
