,bike_nr,birth_date,duration,end_date,end_station,gender,id,resource_uri,start_date,start_station,status,subscription_type,zip_code
0,B00387,1976.0,983,2011-09-01T00:13:00,/api/v1/station/16/,Male,43510,/api/v1/trip/43510/,2011-08-31T23:57:00,/api/v1/station/16/,Closed,Registered,02116
1,B00541,,1255,2011-09-01T00:18:00,/api/v1/station/23/,,43509,/api/v1/trip/43509/,2011-08-31T23:57:00,/api/v1/station/55/,Closed,Casual,
2,B00268,1959.0,587,2011-09-01T00:04:00,/api/v1/station/53/,Male,43507,/api/v1/trip/43507/,2011-08-31T23:55:00,/api/v1/station/42/,Closed,Registered,02115
3,B00241,,586,2011-09-01T00:04:00,/api/v1/station/45/,,43506,/api/v1/trip/43506/,2011-08-31T23:54:00,/api/v1/station/50/,Closed,Casual,
4,B00555,1983.0,1511,2011-09-01T00:16:00,/api/v1/station/45/,Male,43505,/api/v1/trip/43505/,2011-08-31T23:50:00,/api/v1/station/46/,Closed,Registered,02125
5,B00178,1982.0,808,2011-09-01T00:02:00,/api/v1/station/47/,Female,43504,/api/v1/trip/43504/,2011-08-31T23:49:00,/api/v1/station/23/,Closed,Registered,02113
6,B00190,1981.0,821,2011-09-01T00:02:00,/api/v1/station/47/,Male,43503,/api/v1/trip/43503/,2011-08-31T23:49:00,/api/v1/station/23/,Closed,Registered,02113
7,B00144,,1565,2011-09-01T00:16:00,/api/v1/station/52/,,43502,/api/v1/trip/43502/,2011-08-31T23:50:00,/api/v1/station/52/,Closed,Casual,
8,B00071,,993,2011-09-01T00:05:00,/api/v1/station/54/,,43501,/api/v1/trip/43501/,2011-08-31T23:49:00,/api/v1/station/52/,Closed,Casual,
9,B00393,,2357,2011-09-01T00:26:00,/api/v1/station/21/,,43500,/api/v1/trip/43500/,2011-08-31T23:47:00,/api/v1/station/46/,Closed,Casual,
10,B00007,,7353,2011-09-01T01:50:00,/api/v1/station/49/,,43499,/api/v1/trip/43499/,2011-08-31T23:47:00,/api/v1/station/49/,Closed,Casual,
11,B00326,,928,2011-09-01T00:02:00,/api/v1/station/21/,,43498,/api/v1/trip/43498/,2011-08-31T23:47:00,/api/v1/station/21/,Closed,Casual,
12,B00202,,7328,2011-09-01T01:50:00,/api/v1/station/49/,,43497,/api/v1/trip/43497/,2011-08-31T23:48:00,/api/v1/station/49/,Closed,Casual,
13,B00281,,1729,2011-09-01T00:17:00,/api/v1/station/52/,,43496,/api/v1/trip/43496/,2011-08-31T23:48:00,/api/v1/station/52/,Closed,Casual,
14,B00239,,7711,2011-09-01T01:50:00,/api/v1/station/49/,,43494,/api/v1/trip/43494/,2011-08-31T23:42:00,/api/v1/station/49/,Closed,Casual,
15,B00197,,7966,2011-09-01T01:50:00,/api/v1/station/49/,,43492,/api/v1/trip/43492/,2011-08-31T23:37:00,/api/v1/station/49/,Closed,Casual,
16,B00178,,624,2011-08-31T23:48:00,/api/v1/station/23/,,43491,/api/v1/trip/43491/,2011-08-31T23:38:00,/api/v1/station/49/,Closed,Casual,
17,B00325,1976.0,241,2011-08-31T23:39:00,/api/v1/station/32/,Male,43490,/api/v1/trip/43490/,2011-08-31T23:35:00,/api/v1/station/14/,Closed,Registered,02215
18,B00477,,464,2011-08-31T23:40:00,/api/v1/station/22/,,43488,/api/v1/trip/43488/,2011-08-31T23:33:00,/api/v1/station/40/,Closed,Casual,
19,B00011,,8255,2011-09-01T01:49:00,/api/v1/station/49/,,43487,/api/v1/trip/43487/,2011-08-31T23:32:00,/api/v1/station/49/,Closed,Casual,
20,B00445,,8262,2011-09-01T01:49:00,/api/v1/station/49/,,43486,/api/v1/trip/43486/,2011-08-31T23:32:00,/api/v1/station/49/,Closed,Casual,
21,B00509,1981.0,512,2011-08-31T23:37:00,/api/v1/station/53/,Male,43485,/api/v1/trip/43485/,2011-08-31T23:28:00,/api/v1/station/32/,Closed,Registered,02215
22,B00458,,1065,2011-08-31T23:44:00,/api/v1/station/32/,,43484,/api/v1/trip/43484/,2011-08-31T23:26:00,/api/v1/station/18/,Closed,Casual,
23,B00470,,587,2011-08-31T23:30:00,/api/v1/station/26/,,43476,/api/v1/trip/43476/,2011-08-31T23:20:00,/api/v1/station/55/,Closed,Casual,
24,B00074,1981.0,186,2011-08-31T23:22:00,/api/v1/station/33/,Male,43473,/api/v1/trip/43473/,2011-08-31T23:19:00,/api/v1/station/33/,Closed,Registered,02113
25,B00400,1987.0,614,2011-08-31T23:28:00,/api/v1/station/16/,Male,43471,/api/v1/trip/43471/,2011-08-31T23:18:00,/api/v1/station/33/,Closed,Registered,02118
26,B00143,1984.0,618,2011-08-31T23:28:00,/api/v1/station/16/,Male,43470,/api/v1/trip/43470/,2011-08-31T23:18:00,/api/v1/station/33/,Closed,Registered,02118
27,B00160,,731,2011-08-31T23:25:00,/api/v1/station/20/,,43469,/api/v1/trip/43469/,2011-08-31T23:12:00,/api/v1/station/24/,Closed,Casual,
28,B00486,,482,2011-08-31T23:19:00,/api/v1/station/47/,,43468,/api/v1/trip/43468/,2011-08-31T23:11:00,/api/v1/station/24/,Closed,Casual,
29,B00257,1982.0,983,2011-08-31T23:25:00,/api/v1/station/57/,Male,43467,/api/v1/trip/43467/,2011-08-31T23:08:00,/api/v1/station/43/,Closed,Registered,02118
30,B00190,,1747,2011-08-31T23:38:00,/api/v1/station/23/,,43466,/api/v1/trip/43466/,2011-08-31T23:09:00,/api/v1/station/45/,Closed,Casual,
31,B00133,1986.0,1479,2011-08-31T23:32:00,/api/v1/station/20/,Male,43465,/api/v1/trip/43465/,2011-08-31T23:07:00,/api/v1/station/53/,Closed,Registered,02113
32,B00231,1970.0,1559,2011-08-31T23:32:00,/api/v1/station/47/,Male,43464,/api/v1/trip/43464/,2011-08-31T23:06:00,/api/v1/station/32/,Closed,Registered,02113
33,B00144,,838,2011-08-31T23:21:00,/api/v1/station/52/,,43463,/api/v1/trip/43463/,2011-08-31T23:07:00,/api/v1/station/48/,Closed,Casual,
34,B00450,,1276,2011-08-31T23:23:00,/api/v1/station/8/,,43460,/api/v1/trip/43460/,2011-08-31T23:01:00,/api/v1/station/33/,Closed,Casual,
35,B00222,,1088,2011-08-31T23:17:00,/api/v1/station/40/,,43458,/api/v1/trip/43458/,2011-08-31T22:59:00,/api/v1/station/55/,Closed,Casual,
36,B00573,,1055,2011-08-31T23:18:00,/api/v1/station/47/,,43457,/api/v1/trip/43457/,2011-08-31T23:00:00,/api/v1/station/52/,Closed,Casual,
37,B00512,,1074,2011-08-31T23:17:00,/api/v1/station/40/,,43456,/api/v1/trip/43456/,2011-08-31T22:59:00,/api/v1/station/55/,Closed,Casual,
38,B00509,,457,2011-08-31T23:06:00,/api/v1/station/32/,,43455,/api/v1/trip/43455/,2011-08-31T22:59:00,/api/v1/station/46/,Closed,Casual,
39,B00268,,916,2011-08-31T23:14:00,/api/v1/station/42/,,43453,/api/v1/trip/43453/,2011-08-31T22:59:00,/api/v1/station/33/,Closed,Casual,
40,B00092,,919,2011-08-31T23:14:00,/api/v1/station/42/,,43452,/api/v1/trip/43452/,2011-08-31T22:59:00,/api/v1/station/33/,Closed,Casual,
41,B00252,,1825,2011-08-31T23:27:00,/api/v1/station/36/,,43451,/api/v1/trip/43451/,2011-08-31T22:56:00,/api/v1/station/50/,Closed,Casual,
42,B00300,,1837,2011-08-31T23:27:00,/api/v1/station/36/,,43450,/api/v1/trip/43450/,2011-08-31T22:56:00,/api/v1/station/50/,Closed,Casual,
43,B00339,,1605,2011-08-31T23:23:00,/api/v1/station/8/,,43448,/api/v1/trip/43448/,2011-08-31T22:56:00,/api/v1/station/33/,Closed,Casual,
44,B00011,,358,2011-08-31T23:00:00,/api/v1/station/49/,,43447,/api/v1/trip/43447/,2011-08-31T22:54:00,/api/v1/station/16/,Closed,Casual,
45,B00278,1983.0,1308,2011-08-31T23:15:00,/api/v1/station/15/,Male,43446,/api/v1/trip/43446/,2011-08-31T22:53:00,/api/v1/station/23/,Closed,Registered,02478
46,B00298,1978.0,213,2011-08-31T22:53:00,/api/v1/station/25/,Male,43445,/api/v1/trip/43445/,2011-08-31T22:50:00,/api/v1/station/57/,Closed,Registered,02118
47,B00178,,602,2011-08-31T23:00:00,/api/v1/station/49/,,43443,/api/v1/trip/43443/,2011-08-31T22:50:00,/api/v1/station/16/,Closed,Casual,
48,B00131,,995,2011-08-31T23:04:00,/api/v1/station/9/,,43442,/api/v1/trip/43442/,2011-08-31T22:48:00,/api/v1/station/33/,Closed,Casual,
49,B00010,,1197,2011-08-31T23:05:00,/api/v1/station/25/,,43441,/api/v1/trip/43441/,2011-08-31T22:45:00,/api/v1/station/33/,Closed,Casual,
50,B00063,,1176,2011-08-31T23:05:00,/api/v1/station/25/,,43440,/api/v1/trip/43440/,2011-08-31T22:45:00,/api/v1/station/33/,Closed,Casual,
51,B00278,1983.0,435,2011-08-31T22:51:00,/api/v1/station/23/,Male,43439,/api/v1/trip/43439/,2011-08-31T22:44:00,/api/v1/station/24/,Closed,Registered,02478
52,B00339,1987.0,666,2011-08-31T22:55:00,/api/v1/station/33/,Male,43438,/api/v1/trip/43438/,2011-08-31T22:44:00,/api/v1/station/39/,Closed,Registered,02138
53,B00243,,1051,2011-08-31T23:02:00,/api/v1/station/43/,,43437,/api/v1/trip/43437/,2011-08-31T22:44:00,/api/v1/station/33/,Closed,Casual,
54,B00179,,1246,2011-08-31T23:05:00,/api/v1/station/48/,,43436,/api/v1/trip/43436/,2011-08-31T22:44:00,/api/v1/station/32/,Closed,Casual,
